Latitude,Longitude,Label,Type
52.132571,0.2057,31,Event
55.8721211,-4.2882005,2,Event
52.3831892,-1.5609025,0,Event
51.5173041,-0.0958766,21,Event
51.5290305,-0.1194756,21,Event
51.3989589,0.539057,21,Event
54.5728788,-1.2338983,22,Event
55.9487,-3.1882,14,Event
50.3745284,-4.1406465,20,Event
51.5073509,-0.1277583,21,Event
51.8764358,-2.2135158,30,Event
51.7521579,-1.2619056,27,Event
51.4972946,-0.1765027,21,Event
53.345043,-2.639594,29,Event
50.9079836,-1.4001949,18,Event
54.9729101,-1.6083943,22,Event
55.8595494,-4.2595169,2,Event
51.5053782,-0.1049948,21,Event
51.4992237,-0.1748069,21,Event
51.505456,-0.075356,21,Event
51.5245057,-0.1386982,21,Event
53.9455334,-1.0561667,28,Event
52.3831892,-1.5609025,0,Event
52.9250287,-1.4540158,13,Event
51.508929,-0.128299,21,Event
53.4082,-2.5893,29,Event
51.5135818,-0.1158446,21,Event
51.4999291,-0.1762896,21,Event
53.5615,-2.87869,11,Event
53.5615,-2.87869,11,Event
54.9729101,-1.6083943,22,Event
55.92202,-3.1368799,14,Event
52.1966307,-2.2437565,30,Event
51.5095842,-0.1423075,21,Event
54.969366,-1.6142687,22,Event
51.5036217,-2.5363237,16,Event
51.524074,-0.077178,21,Event
55.9331214,-3.2132586,14,Event
51.5246243,-0.0856063,21,Event
51.5237833,-0.1047939,21,Event
55.8561512,-4.2956757,2,Event
51.5155664,-0.1635991,21,Event
55.8427116,-4.2687452,2,Event
54.9869797,-1.5601885,22,Event
54.9869797,-1.5601885,22,Event
51.5056326,-0.1124914,21,Event
54.7084871,-1.5792766,22,Event
55.8689114,-3.0408934,14,Event
51.7524591,-0.2439661,5,Event
52.625379,1.239656,9,Event
51.5251,-0.0491,21,Event
51.5148515,-0.1244877,21,Event
51.7521579,-1.2619056,27,Event
51.241082,-0.1678579,21,Event
50.3752306,-4.1383734,20,Event
52.0532807,1.1647612,9,Event
53.4807593,-2.2426305,29,Event
51.475267,-3.1865052,7,Event
51.5136159,-0.1158714,21,Event
50.9349549,-1.3964279,18,Event
50.723808,-1.9064535,18,Event
