Latitude,Longitude,Label,Type
55.8595494,-4.2595169,28,Event
51.5053782,-0.1049948,2,Event
51.5563039,-2.5649195,14,Event
53.9455334,-1.0561667,7,Event
51.059373,-1.265336,5,Event
51.5051173,-0.1123309,2,Event
51.2029753,-1.4867233,5,Event
52.9250287,-1.4540158,17,Event
51.508929,-0.128299,2,Event
51.771343,0.0863035,2,Event
51.6073822,-0.481816,2,Event
53.3445812,-2.6399344,9,Event
53.4082,-2.5893,9,Event
51.4999291,-0.1762896,2,Event
51.4584172,-2.6029792,14,Event
51.5174096,-0.0830177,2,Event
53.7465599,-0.3426221,7,Event
57.1515654,-2.2298171,24,Event
55.92202,-3.1368799,18,Event
52.5585071,-1.7092837,26,Event
52.1966307,-2.2437565,12,Event
51.5051173,-0.1123309,2,Event
51.512651,-0.084829,2,Event
51.5036217,-2.5363237,14,Event
51.524074,-0.077178,2,Event
51.758703,-1.255467,15,Event
51.5246243,-0.0856063,2,Event
51.5237833,-0.1047939,2,Event
55.8561512,-4.2956757,28,Event
51.5155664,-0.1635991,2,Event
55.8427116,-4.2687452,28,Event
51.7519296,0.6530964,8,Event
56.367222,-3.8336731,16,Event
55.8569458,-4.2440883,28,Event
54.9869797,-1.5601885,6,Event
51.5056326,-0.1124914,2,Event
55.8689114,-3.0408934,18,Event
51.7524591,-0.2439661,2,Event
52.625379,1.239656,8,Event
51.542841,0.710538,8,Event
53.5583,-1.4996,13,Event
51.5148515,-0.1244877,2,Event
51.5130974,-0.0863593,2,Event
53.4807593,-2.2426305,23,Event
51.475267,-3.1865052,20,Event
53.3784819,-1.4660219,13,Event
